ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Random Forest (Ensemble),0.9736842105263158,0.994212962962963,1.0,0.9285714285714286,0.9629629629629629,0.9441549509633318
Logistic Regression,0.9649122807017544,0.996031746031746,0.975,0.9285714285714286,0.9512195121951219,0.9245181185940877
kNN,0.956140350877193,0.982473544973545,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9058238738943076
Naive Bayes,0.9210526315789473,0.9890873015873015,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.8291617197562593
Decision Tree,0.8771929824561403,0.9654431216931217,0.9117647058823529,0.7380952380952381,0.8157894736842105,0.7343160511831469
